n,Algorithm A (ns),Algorithm B (ns)
1378,6500,7961100
1379,6100,9134200
1380,6800,8333400
1381,6300,8984600
1382,13400,8013500
1383,6600,9676200
1384,6700,8021500
1385,8700,8474600
1386,6400,8520200
1387,6200,8457500
1388,6600,11232300
1389,6400,8445700
1390,6300,12401700
1391,9000,13691800
1392,6300,10619400
1393,16400,8813100
1394,7500,9667600
1395,6500,8050900
1396,6300,8470600
1397,12700,8084800
1398,6300,7756100
1399,23600,8034900
1400,6200,8591300
1401,12500,7665200
1402,6200,8625700
1403,6300,8383600
1404,6200,9099200
1405,6300,7996100
1406,6200,11670600
1407,6700,8825200
1408,7800,8424900
1409,6100,8815400
1410,14000,8110500
1411,6000,8617200
1412,6500,8208300
1413,7000,8871700
1414,6600,8298800
1415,6700,10936600
1416,6500,10263800
1417,18200,13263400
1418,6300,9905300
1419,21700,8443600
1420,6400,9260300
1421,6400,8224300
1422,6500,8497200
1423,6400,8188400
1424,6400,8994400
1425,6100,8435700
1426,7300,16269300
1427,33000,9583900
1428,6500,9110400
1429,6700,8434500
1430,6000,9348200
1431,6300,7461500
1432,5900,8956700
1433,6200,7633000
1434,5900,7735500
1435,6300,7592500
1436,21600,9515600
1437,6300,7529000
1438,7300,10428200
1439,6400,8019200
1440,6200,7966400
1441,6200,9172600
1442,6200,8103300
1443,6100,7991500
1444,6600,8367800
1445,6200,8373400
1446,6400,7579600
1447,5900,8128800
1448,6600,9356300
1449,6300,9303600
1450,6700,8060200
1451,21700,8712000
1452,6400,8516100
1453,6400,9185900
1454,7000,7725400
1455,21800,9596400
1456,6100,7616300
1457,5900,8918400
1458,6200,7849400
1459,5900,9689600
1460,6100,7560400
1461,6100,8744500
1462,6000,8256000
1463,26000,8463900
1464,6100,10880600
1465,6700,7989900
1466,6200,10798000
1467,6700,10742700
1468,7000,8363500
1469,6700,8341900
1470,12600,7961200
1471,12300,9426400
1472,7500,8411300
1473,23700,9399400
1474,6300,7944600
1475,6200,8648400
1476,6400,8454000
1477,6200,8073200
1478,6100,8638700
1479,6400,9358200
1480,6500,8376600
1481,6400,8365500
1482,6400,8180000
1483,6600,10002400
1484,6400,8233800
1485,6800,8640500
1486,6700,8909200
1487,6600,8260600
1488,6500,8761100
